static_huffman_bootstrap -> main_literals

bits code
7    256-279
8    0-143
9    144-255

code, bits, symbol, reverse_symbol
                 symbol   reverse_symbol
(196, 9, 452, 71)
(197, 9, 453, 327)
(198, 9, 454, 199)
(199, 9, 455, 455)
(200, 9, 456, 39)
(201, 9, 457, 295)
(202, 9, 458, 167)
(203, 9, 459, 423)
(204, 9, 460, 103)
(205, 9, 461, 359)
(206, 9, 462, 231)
(207, 9, 463, 487)
(208, 9, 464, 23)
(209, 9, 465, 279)
(210, 9, 466, 151)
(211, 9, 467, 407)
(212, 9, 468, 87)
(213, 9, 469, 343)
(214, 9, 470, 215)
(215, 9, 471, 471)
(216, 9, 472, 55)
(217, 9, 473, 311)
(218, 9, 474, 183)
(219, 9, 475, 439)
(220, 9, 476, 119)
(221, 9, 477, 375)
(222, 9, 478, 247)
(223, 9, 479, 503)
(224, 9, 480, 15)
(225, 9, 481, 271)
(226, 9, 482, 143)
(227, 9, 483, 399)
(228, 9, 484, 79)
(229, 9, 485, 335)
(230, 9, 486, 207)
(231, 9, 487, 463)
(232, 9, 488, 47)
(233, 9, 489, 303)
(234, 9, 490, 175)
(235, 9, 491, 431)
(236, 9, 492, 111)
(237, 9, 493, 367)
(238, 9, 494, 239)
(239, 9, 495, 495)
(240, 9, 496, 31)
(241, 9, 497, 287)
(242, 9, 498, 159)
(243, 9, 499, 415)
(244, 9, 500, 95)
(245, 9, 501, 351)
(246, 9, 502, 223)
(247, 9, 503, 479)
(248, 9, 504, 63)
(249, 9, 505, 319)
(250, 9, 506, 191)
(251, 9, 507, 447)
(252, 9, 508, 127)
(253, 9, 509, 383)
(254, 9, 510, 255)
(255, 9, 511, 511)
